Subdomain,URL,Language,Exergy (%),Smoke (%),Clickbait (%),Tech (%),Commercial (%),C5-Real (%),Classification,Posts Scanned
awesomeneuron,https://awesomeneuron.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
karozieminski,https://karozieminski.substack.com,en,100.0,0.0,0.0,80.0,0.0,0.0,Técnico / Práctico,5
buildtolaunch,https://buildtolaunch.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
machinelearningplus,https://machinelearningplus.substack.com,en,100.0,0.0,0.0,60.0,0.0,0.0,Técnico / Práctico,5
srilaxmi,https://srilaxmi.substack.com,en,100.0,0.0,0.0,100.0,0.0,0.0,Técnico / Práctico,5
seanellis,https://seanellis.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
javarevisited,https://javarevisited.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
thecloudplaybook,https://thecloudplaybook.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
semanaldeinversion,https://semanaldeinversion.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
mlwhiz,https://mlwhiz.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
prosperinai,https://prosperinai.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
hannahstulberg,https://hannahstulberg.substack.com,en,100.0,0.0,0.0,80.0,0.0,0.0,Técnico / Práctico,5
leggado,https://leggado.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elmapasecreto,https://elmapasecreto.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
soygabimoreno,https://soygabimoreno.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
empleadoemprendedor,https://empleadoemprendedor.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elenalodos,https://elenalodos.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
oscarfeito,https://oscarfeito.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
josely,https://josely.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
ideasvisuales,https://ideasvisuales.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elentrenamientoinvisible,https://elentrenamientoinvisible.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
tigeruniverse,https://tigeruniverse.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
mistakeshappen,https://mistakeshappen.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lagoodletter,https://lagoodletter.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
antonioardid,https://antonioardid.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
bcncameraclub,https://bcncameraclub.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lalibreria,https://lalibreria.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
unachicaenfinanzas,https://unachicaenfinanzas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
leaderlix,https://leaderlix.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
rumboalexito,https://rumboalexito.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
liderazgodelbueno,https://liderazgodelbueno.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
elcrisol,https://elcrisol.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
ainalluna,https://ainalluna.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
carlosjonayss,https://carlosjonayss.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
sergioparra,https://sergioparra.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
beatrizlizana,https://beatrizlizana.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
iahumana,https://iahumana.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
haztegrande,https://haztegrande.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lamentalidadestodo,https://lamentalidadestodo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
avcomunidad,https://avcomunidad.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
error500,https://error500.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
brunoborras,https://brunoborras.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
raulhernandezgonzalez,https://raulhernandezgonzalez.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
